property_id,type,bedrooms,bathrooms,area_sqft,price,location,description,image_url
1,apartment,2,2,1200,5000000,Mumbai,Spacious 2BHK with sea view,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Mumbai_Apartment_Building.jpg/800px-Mumbai_Apartment_Building.jpg
2,villa,4,3,3000,15000000,Delhi,Luxury villa with garden,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Amity_University_Noida_campus%2C_India.jpg/1280px-Amity_University_Noida_campus%2C_India.jpg
3,flat,1,1,600,2500000,Bangalore,Cozy 1BHK near IT park,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bengaluru_Apartment_Complex.jpg/800px-Bengaluru_Apartment_Complex.jpg
4,apartment,3,2,1500,7500000,Mumbai,Modern 3BHK in prime location,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Mumbai_Apartment_Building.jpg/800px-Mumbai_Apartment_Building.jpg
5,villa,5,4,4500,25000000,Delhi,Grand villa with swimming pool,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Amity_University_Noida_campus%2C_India.jpg/1280px-Amity_University_Noida_campus%2C_India.jpg
6,flat,2,2,900,4000000,Bangalore,Spacious 2BHK in a peaceful area,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bengaluru_Apartment_Complex.jpg/800px-Bengaluru_Apartment_Complex.jpg
7,apartment,2,2,1100,6000000,Pune,New apartment near IT hub,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Pune_City_View.jpg/1024px-Pune_City_View.jpg
8,house,3,2,1800,8000000,Chennai,Independent house with terrace,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Chennai_skyline.jpg/1024px-Chennai_skyline.jpg
9,flat,3,2,1300,5500000,Hyderabad,Family-friendly flat with amenities,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Hyderabad_Cityscape.jpg/1024px-Hyderabad_Cityscape.jpg
10,apartment,1,1,550,2000000,Kolkata,Compact 1BHK in city center,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kolkata_Skyline.jpg/1024px-Kolkata_Skyline.jpg
11,apartment,3,3,1800,9000000,Mumbai,Luxurious 3BHK with modern amenities,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Mumbai_Apartment_Building.jpg/800px-Mumbai_Apartment_Building.jpg
12,house,4,3,2500,12000000,Delhi,Spacious house in a gated community,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Amity_University_Noida_campus%2C_India.jpg/1280px-Amity_University_Noida_campus%2C_India.jpg
13,flat,2,1,750,3000000,Bangalore,Affordable 2BHK, close to public transport,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Bengaluru_Apartment_Complex.jpg/800px-Bengaluru_Apartment_Complex.jpg
14,villa,3,2,2200,10000000,Pune,Elegant villa with private parking,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Pune_City_View.jpg/1024px-Pune_City_View.jpg
15,apartment,1,1,450,1800000,Chennai,Compact studio apartment, good for singles,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Chennai_skyline.jpg/1024px-Chennai_skyline.jpg
